Date,Open,High,Low,Close,Adj Close,Volume
2013-02-14,284880.0,285600.0,280320.0,281760.0,228593.953125,115
2013-02-15,281520.0,286320.0,279600.0,284080.0,230476.140625,129
2013-02-19,282000.0,282480.0,277600.0,277760.0,225348.71875,149
2013-02-20,277840.0,290560.0,277680.0,290160.0,235408.921875,210
2013-02-21,293920.0,303120.0,292880.0,300080.0,243457.078125,275
2013-02-22,294800.0,298240.0,290960.0,291120.0,236187.78125,172
2013-02-25,284800.0,302560.0,282240.0,301920.0,244949.859375,264
2013-02-26,300240.0,306400.0,296480.0,298400.0,242094.09375,356
2013-02-27,298320.0,299440.0,283520.0,289040.0,234500.25,275
2013-02-28,289200.0,290880.0,282720.0,290560.0,235733.421875,175
2013-03-01,293920.0,298160.0,285840.0,286640.0,232553.09375,247
2013-03-04,289840.0,291200.0,282800.0,282800.0,229437.703125,215
2013-03-05,278160.0,278400.0,269760.0,270720.0,219637.09375,272
2013-03-06,268320.0,273840.0,268000.0,272800.0,221324.609375,174
2013-03-07,272080.0,273360.0,269360.0,270560.0,219507.28125,126
2013-03-08,267760.0,272800.0,266720.0,269520.0,218663.546875,132
2013-03-11,270400.0,273120.0,267120.0,267280.0,216846.203125,113
2013-03-12,269520.0,273920.0,267920.0,270560.0,219507.28125,156
2013-03-13,269200.0,274080.0,268160.0,271280.0,220091.46875,212
2013-03-14,268560.0,270240.0,266800.0,268560.0,217884.625,130
2013-03-15,267840.0,272800.0,267600.0,270720.0,219637.09375,157
2013-03-18,278000.0,280000.0,269280.0,272720.0,221259.703125,228
2013-03-19,270240.0,281280.0,268480.0,273600.0,221973.625,313
2013-03-20,268240.0,272080.0,266480.0,268480.0,217819.734375,195
2013-03-21,275200.0,279280.0,273520.0,277120.0,224829.484375,204
2013-03-22,274000.0,274960.0,268800.0,269520.0,218663.546875,236
2013-03-25,266800.0,276080.0,265120.0,272240.0,220870.28125,274
2013-03-26,269200.0,270880.0,267680.0,267840.0,217300.546875,162
2013-03-27,272960.0,274320.0,266320.0,266480.0,216197.140625,218
2013-03-28,266800.0,268720.0,264000.0,264800.0,214834.15625,166
2013-04-01,264160.0,272160.0,263520.0,270080.0,219117.875,241
2013-04-02,266560.0,266960.0,261200.0,263680.0,213925.46875,318
2013-04-03,262960.0,272800.0,262240.0,270240.0,219247.640625,227
2013-04-04,271200.0,275040.0,268800.0,270320.0,219312.5625,154
2013-04-05,283600.0,285280.0,276240.0,277360.0,225024.203125,268
2013-04-08,277120.0,279440.0,272800.0,272960.0,221454.4375,194
2013-04-09,270480.0,274560.0,264240.0,267440.0,216976.03125,332
2013-04-10,264800.0,265040.0,250800.0,251840.0,204319.59375,446
2013-04-11,253840.0,254560.0,250480.0,251760.0,204254.6875,264
2013-04-12,253920.0,258400.0,252160.0,252320.0,204709.046875,241
2013-04-15,256000.0,268320.0,254240.0,267680.0,217170.75,426
2013-04-16,262640.0,264560.0,256080.0,256480.0,208084.109375,235
2013-04-17,263760.0,276320.0,263360.0,271760.0,220480.84375,455
2013-04-18,269600.0,286640.0,269520.0,283280.0,229827.09375,462
2013-04-19,281280.0,282800.0,269760.0,270880.0,219766.875,303
2013-04-22,268240.0,271520.0,260240.0,263200.0,213536.046875,269
2013-04-23,258480.0,262800.0,252880.0,255680.0,207435.03125,443
2013-04-24,257600.0,259280.0,253200.0,256000.0,207694.640625,284
2013-04-25,253600.0,254000.0,249040.0,251760.0,204254.6875,266
2013-04-26,253840.0,257360.0,252000.0,254080.0,206136.953125,223
2013-04-29,251840.0,251840.0,244240.0,247120.0,200490.234375,286
2013-04-30,246320.0,248960.0,241600.0,241680.0,196076.734375,244
2013-05-01,241840.0,246480.0,240560.0,244720.0,198543.109375,215
2013-05-02,244000.0,244480.0,234320.0,235920.0,191403.59375,266
2013-05-03,229120.0,229520.0,225280.0,227600.0,184653.515625,255
2013-05-06,226400.0,226800.0,223760.0,224960.0,182511.703125,169
